GEO.id,GEO.id2,GEO.display-label,HC03_VC87,HC03_VC88,HC03_VC89,HC03_VC90,HC03_VC91,HC03_VC92,HC03_VC93,HC03_VC94,HC03_VC95,HC03_VC96,HC03_VC97,HC03_VC98,HC03_VC99,HC03_VC100,HC03_VC101,HC03_VC102
Id,Id2,Geography,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,"Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races"
8600000US73430,73430,ZCTA5 73430,1225,0.0,0.0,0.0,0.0,0.0,100.0,91.7,0.0,7.5,0.8,0.0,0.0,0.0,0.0,0.0
8600000US73931,73931,ZCTA5 73931,646,10.7,10.7,0.0,0.0,0.0,89.3,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8600000US73949,73949,ZCTA5 73949,1477,34.0,32.2,0.0,0.0,1.8,66.0,65.7,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1
8600000US75001,75001,ZCTA5 75001,14128,23.2,17.5,0.5,1.0,4.3,76.8,52.4,11.3,0.2,10.5,0.0,0.0,2.5,0.1,2.4
8600000US75002,75002,ZCTA5 75002,68347,13.5,10.5,1.2,0.1,1.8,86.5,65.2,9.4,0.4,8.8,0.1,0.1,2.5,0.2,2.3
8600000US75006,75006,ZCTA5 75006,49620,49.6,39.9,0.4,0.6,8.8,50.4,35.9,6.5,0.1,6.8,0.0,0.1,0.9,0.0,0.9
8600000US75007,75007,ZCTA5 75007,53513,25.4,19.3,0.5,0.4,5.2,74.6,49.1,7.5,0.1,15.2,0.1,0.1,2.5,0.0,2.5
8600000US75009,75009,ZCTA5 75009,9409,15.5,12.6,0.0,0.0,2.9,84.5,80.9,1.1,0.3,0.9,0.0,0.0,1.4,0.0,1.4
8600000US75010,75010,ZCTA5 75010,24529,13.1,8.1,1.5,1.2,2.3,86.9,43.3,12.2,0.5,27.4,0.5,0.0,3.1,0.1,3.0
8600000US75013,75013,ZCTA5 75013,35568,6.7,3.5,0.5,0.6,2.1,93.3,63.7,5.1,0.3,21.0,0.0,0.4,2.6,0.0,2.6
8600000US75019,75019,ZCTA5 75019,40610,11.2,8.4,0.5,0.2,2.0,88.8,61.4,4.5,0.2,20.6,0.0,0.1,2.0,0.1,2.0
8600000US75020,75020,ZCTA5 75020,22325,9.0,8.2,0.1,0.0,0.8,91.0,78.6,7.2,1.4,0.9,0.1,0.4,2.4,0.0,2.4
8600000US75021,75021,ZCTA5 75021,7995,8.7,7.4,0.0,0.0,1.3,91.3,81.9,2.1,2.6,1.5,0.2,0.0,3.1,0.0,3.1
8600000US75022,75022,ZCTA5 75022,23626,8.1,4.8,0.9,0.6,1.8,91.9,75.8,1.9,0.1,12.1,0.0,0.2,1.8,0.3,1.5
8600000US75023,75023,ZCTA5 75023,47787,15.2,11.5,0.4,0.6,2.6,84.8,60.4,8.0,0.3,13.4,0.0,0.1,2.7,0.1,2.5
8600000US75024,75024,ZCTA5 75024,40843,6.5,3.9,0.4,0.1,2.1,93.5,51.9,5.7,0.5,33.5,0.0,0.1,1.8,0.3,1.5
8600000US75025,75025,ZCTA5 75025,53483,6.3,3.9,0.4,0.2,1.9,93.7,55.3,7.6,0.2,28.2,0.0,0.2,2.1,0.2,1.9
8600000US75028,75028,ZCTA5 75028,45225,9.3,6.5,0.3,0.1,2.4,90.7,74.5,5.3,0.6,8.0,0.0,0.2,2.0,0.0,2.0
8600000US75032,75032,ZCTA5 75032,30877,18.1,11.3,1.8,0.3,4.7,81.9,71.9,5.4,0.0,2.2,0.0,0.0,2.4,0.2,2.1
8600000US75034,75034,ZCTA5 75034,85700,15.6,10.8,0.6,0.5,3.7,84.4,63.4,6.7,0.3,11.4,0.0,0.4,2.1,0.1,2.0
8600000US75035,75035,ZCTA5 75035,56427,10.4,6.7,0.5,0.1,3.1,89.6,61.3,7.9,0.3,16.6,0.1,0.3,3.1,0.2,2.9
8600000US75038,75038,ZCTA5 75038,29643,22.9,13.9,1.2,0.3,7.6,77.1,20.2,24.6,0.2,28.5,0.7,0.6,2.4,0.5,1.9
8600000US75039,75039,ZCTA5 75039,14724,13.5,9.5,1.6,0.2,2.2,86.5,38.2,9.7,0.5,34.7,0.0,0.6,2.8,0.7,2.1
8600000US75040,75040,ZCTA5 75040,60948,44.8,37.2,0.3,0.2,7.1,55.2,27.8,12.3,0.3,10.7,0.0,0.1,4.1,0.0,4.1
8600000US75041,75041,ZCTA5 75041,32098,61.5,50.8,0.5,0.4,9.8,38.5,26.2,7.9,0.3,1.6,0.0,0.0,2.6,0.0,2.6
8600000US75042,75042,ZCTA5 75042,40264,56.0,49.0,0.3,0.2,6.5,44.0,19.4,8.0,0.2,13.6,0.0,0.1,2.7,0.2,2.5
8600000US75043,75043,ZCTA5 75043,60452,29.4,23.0,0.6,0.4,5.5,70.6,38.3,21.2,0.2,7.7,0.1,0.5,2.7,0.2,2.5
