Zip,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index,Year,City
76527,3830,26.3,71.5,0.9,0.1,0.8,0.4,100.0,0.41944400000000004,2011,Florence
76530,2428,20.0,73.5,5.6,0.0,0.5,0.4,100.0,0.4165979999999999,2011,Granger
76537,3410,33.2,61.6,1.1,0.4,0.9,2.8,100.00000000000001,0.5093179999999999,2011,Jarrell
76573,65,35.4,64.6,0.0,0.0,0.0,0.0,100.0,0.4573680000000002,2011,Schwertner
76574,17213,35.3,54.0,8.6,0.0,1.8,0.3,99.99999999999999,0.5760620000000001,2011,Taylor
76578,1659,13.0,82.3,2.5,0.0,0.0,2.2,100.0,0.304662,2011,Thrall
78602,24532,21.8,65.8,9.7,0.2,0.7999999999999999,1.6,99.89999999999999,0.5097790000000001,2011,Bastrop
78610,22052,34.7,61.6,1.3,0.3,0.8,1.2999999999999998,100.0,0.49972399999999995,2011,Buda
78612,11373,40.0,50.8,7.3,0.0,1.2,0.7,100.0,0.576414,2011,Cedar Creek
78613,63901,16.0,70.3,5.3,0.3,5.9,2.1,99.89999999999999,0.47345100000000007,2011,Cedar Park
78615,866,0.9,98.6,0.0,0.0,0.0,0.5,100.0,0.027698,2011,Coupland
78616,6339,41.4,55.7,2.5,0.3,0.0,0.1,99.99999999999999,0.51772,2011,Cedar Creek
78617,18572,67.5,19.2,9.3,0.3,1.4,2.3,100.0,0.4981279999999999,2011,Austin
78619,3532,4.0,92.8,0.0,2.3,0.3,0.5,99.89999999999999,0.13665300000000002,2011,Driftwood
78620,14578,13.8,82.3,1.3,0.6,1.0,1.0,99.99999999999999,0.303222,2011,Dripping Springs
78621,22273,37.8,46.5,11.5,0.2,0.5,3.4,99.9,0.6264810000000001,2011,Elgin
78622,137,73.7,26.3,0.0,0.0,0.0,0.0,100.0,0.38766199999999995,2011,Fentress
78626,27211,40.4,52.6,4.6,0.1,1.0,1.3,99.99999999999999,0.557722,2011,Georgetown
78628,23269,16.8,77.6,2.3,0.0,1.4,1.9000000000000001,100.0,0.36851400000000023,2011,Georgetown
78633,17181,5.3,93.2,0.3,0.3,0.6,0.3,99.99999999999999,0.12850399999999984,2011,Georgetown
78634,21778,31.9,54.7,11.2,0.1,0.3,1.7999999999999998,99.99999999999999,0.586152,2011,Hutto
78640,40699,56.4,36.9,4.3,0.2,1.2,1.2,100.2,0.5436020000000001,2011,Kyle
78641,43655,20.0,73.4,3.1,0.2,1.8,1.6,100.1,0.4196989999999998,2011,Leander
78642,8498,8.4,86.1,0.7,0.8,0.3,3.8,100.1,0.250057,2011,Liberty Hill
78644,16772,43.1,47.7,7.7,0.3,0.2,1.1,100.10000000000001,0.580647,2011,Lockhart
78645,10308,7.1,90.4,1.0,0.2,0.2,1.2,100.10000000000001,0.17749099999999995,2011,Lago Vista
78648,7899,39.8,50.4,8.2,1.4,0.0,0.2,100.0,0.5806560000000001,2011,Luling
78650,1549,22.7,76.6,0.3,0.0,0.0,0.5,100.1,0.36168100000000014,2011,Mc Dade
78652,4256,22.5,73.2,3.1,0.0,0.3,0.9,100.0,0.4125,2011,San Leanna
78653,14631,46.2,32.6,19.5,0.0,1.2,0.5,100.00000000000001,0.6420859999999999,2011,Manor
78655,3694,60.2,29.4,9.2,0.0,0.0,1.2,100.0,0.5425520000000001,2011,Martindale
78656,2529,76.8,21.8,1.4,0.0,0.0,0.0,100.0,0.362456,2011,Maxwell
78659,3052,8.4,91.2,0.0,0.0,0.4,0.0,100.00000000000001,0.161184,2011,Paige
78660,67630,29.5,43.6,14.8,0.2,9.9,1.9,99.9,0.690809,2011,Pflugerville
78661,152,9.2,85.5,2.0,3.3,0.0,0.0,100.0,0.2590220000000001,2011,Prairie Lea
78662,2941,22.9,74.8,0.0,0.0,0.0,2.2,99.89999999999999,0.387571,2011,Red Rock
78664,51942,33.9,47.8,11.3,0.3,3.9,2.8000000000000003,99.99999999999999,0.6415120000000001,2011,Round Rock
78665,31767,22.2,60.2,9.9,0.1,6.5,1.1,100.0,0.5741640000000001,2011,Round Rock
78666,61953,41.2,50.3,5.2,0.4,1.4000000000000001,1.5,100.00000000000001,0.574106,2011,San Marcos
78669,8834,9.8,87.8,1.6,0.0,0.5,0.2,99.89999999999999,0.21922699999999995,2011,Spicewood
78676,11750,4.9,91.3,1.7,0.6,0.4,1.1,100.0,0.16356800000000005,2011,Wimberley
78681,51409,19.4,65.7,4.2,0.9,7.0,2.9,100.10000000000001,0.523129,2011,Round Rock
78701,5084,12.0,73.1,7.6,0.0,6.6,0.7,99.99999999999999,0.44105800000000006,2011,Austin
78702,20643,56.0,25.4,15.6,0.0,1.8,1.2,100.0,0.5970799999999999,2011,Austin
78703,19579,9.4,81.4,1.2,1.1,4.8,2.0,99.9,0.32559899999999997,2011,Austin
78704,41616,31.0,61.4,3.9,0.4,1.3,1.9,99.90000000000002,0.524837,2011,Austin
78705,29247,14.8,64.1,3.2,0.1,15.9,1.9,100.0,0.5405480000000001,2011,Austin
78712,544,14.9,80.1,0.0,0.0,5.0,0.0,100.0,0.33369800000000016,2011,Austin
78717,22278,12.5,62.5,5.0,0.0,17.1,2.7,99.8,0.56128,2011,Austin
78719,1427,57.7,42.2,0.1,0.0,0.0,0.0,100.0,0.4889859999999999,2011,Austin
78721,11100,56.1,10.7,31.4,0.2,0.7999999999999999,0.7,99.89999999999999,0.5751169999999999,2011,Austin
78722,5733,21.3,60.5,13.0,0.6,2.4,2.2,100.0,0.5706100000000001,2011,Austin
78723,29869,43.8,26.3,26.7,0.1,1.9,1.3,100.1,0.6671670000000001,2011,Austin
78724,20447,60.0,9.0,30.2,0.3,0.0,0.6,100.1,0.540651,2011,Austin
78725,6021,49.7,14.9,30.8,0.0,3.0,1.5,99.9,0.634801,2011,Austin
78726,13198,16.6,66.0,3.3,0.6,11.8,1.6,99.89999999999998,0.521539,2011,Austin
78727,28075,19.8,56.4,7.8,0.0,14.0,2.0,100.0,0.616616,2011,Austin
78728,20232,27.5,43.6,14.4,0.6,10.8,3.0,99.89999999999999,0.700943,2011,Austin
78729,27024,18.4,61.5,8.5,0.0,9.3,2.3,100.0,0.571516,2011,Austin
78730,8242,5.0,78.3,2.6,0.0,11.600000000000001,2.5,100.0,0.36965400000000015,2011,Austin
78731,24898,8.1,80.6,1.3,0.1,8.7,1.2,99.99999999999999,0.33592,2011,Austin
78732,13389,9.0,77.2,1.5,0.3,9.8,2.2,100.0,0.3855939999999999,2011,Austin
78733,9219,11.3,79.0,0.1,0.0,8.0,1.6,99.99999999999999,0.35647399999999996,2011,Austin
78734,16729,15.8,80.7,0.2,0.6,2.4,0.4,100.10000000000001,0.32315499999999986,2011,Lakeway
78735,16024,18.2,72.8,0.7,0.0,6.6,1.6,99.89999999999999,0.4322309999999999,2011,Austin
78736,6599,17.8,75.1,0.2,0.0,5.3,1.7000000000000002,100.1,0.40121300000000015,2011,Austin
78737,12458,10.1,84.1,1.2,0.8,3.1,0.7,99.99999999999999,0.2813000000000001,2011,Austin
78738,11504,8.1,84.3,0.3,0.3,5.2,1.7,99.89999999999999,0.279779,2011,Bee Cave
78739,15957,16.3,71.2,1.7,0.3,6.8,3.7,100.0,0.46019599999999994,2011,Austin
78741,46959,64.7,19.9,9.5,0.0,4.3,1.6,99.99999999999999,0.53066,2011,Austin
78742,780,68.7,22.6,8.2,0.0,0.0,0.5,100.00000000000001,0.4702059999999999,2011,Austin
78744,41593,76.3,14.6,7.8,0.0,0.5,0.7,99.89999999999999,0.39035699999999995,2011,Austin
78745,55010,43.2,50.0,3.3,0.4,1.6,1.5,100.0,0.56179,2011,Austin
78746,26677,6.3,85.8,0.7,0.1,5.3,1.7,99.89999999999999,0.25671900000000014,2011,Austin
78747,13179,52.9,34.2,6.4,0.4,4.0,2.0,99.9,0.597083,2011,Austin
78748,37784,36.5,54.0,4.4,0.2,3.1,1.8,100.0,0.57195,2011,Austin
78749,33947,19.9,66.3,4.3,0.4,7.3,1.8,99.99999999999999,0.5133120000000002,2011,Austin
78750,26734,14.6,68.1,4.8,0.0,10.2,2.3000000000000003,99.99999999999999,0.5016860000000001,2011,Austin
78751,14526,13.0,74.4,1.7,0.0,7.1,3.9,100.10000000000001,0.4227129999999999,2011,Austin
78752,16494,57.9,25.5,13.2,0.0,2.2,1.2,100.00000000000001,0.581682,2011,Austin
78753,51547,58.7,21.6,11.9,0.4,6.3,1.1,100.00000000000001,0.5905079999999999,2011,Austin
78754,13326,31.9,33.2,18.3,0.2,14.200000000000001,2.3,100.1,0.733829,2011,Austin
78756,7682,10.3,82.7,2.8,0.0,3.4000000000000004,0.8,100.0,0.3034579999999999,2011,Austin
78757,22542,23.7,70.4,1.7,0.2,3.0,1.0,100.00000000000001,0.44692199999999993,2011,Austin
78758,43577,45.8,32.2,12.3,0.3,7.1,2.4000000000000004,100.1,0.665797,2011,Austin
78759,40602,11.8,71.2,3.1,0.1,11.5,2.3000000000000003,99.99999999999999,0.46441599999999983,2011,Austin
78953,663,17.8,81.9,0.0,0.0,0.0,0.3,100.0,0.29754599999999987,2011,Rosanky
78957,8434,15.9,72.3,8.2,1.0,1.6,1.0,100.0,0.44481000000000004,2011,Smithville
